Team,Charm Name,Repository,Branch (if not the default),Source
Telco,Vault (K8s),https://github.com/canonical/vault-k8s-operator,,manual
,airbyte-k8s-operator,https://github.com/canonical/airbyte-k8s-operator,,manual
,aodh,https://opendev.org/openstack/charm-aodh,,auto
,aproxy-operator,https://github.com/canonical/aproxy-operator,,manual
,barbican,https://opendev.org/openstack/charm-barbican,,auto
,barbican-vault,https://opendev.org/openstack/charm-barbican-vault,,auto
,calico,https://github.com/charmed-kubernetes/layer-calico,,auto
,cassandra,https://git.launchpad.net/cassandra-charm,,auto
,ceilometer,https://opendev.org/openstack/charm-ceilometer,,auto
,ceilometer-agent,https://opendev.org/openstack/charm-ceilometer-agent,,auto
,charm-ubuntu,https://github.com/canonical/charm-ubuntu,,manual
,cilium,https://github.com/charmed-kubernetes/charm-cilium,,auto
,cinder,https://opendev.org/openstack/charm-cinder,,auto
,cinder-backup,https://opendev.org/openstack/charm-cinder-backup,,auto
,cinder-backup-swift-proxy,https://opendev.org/openstack/charm-cinder-backup-swift-proxy,,auto
,cinder-ceph,https://opendev.org/openstack/charm-cinder-ceph,,auto
,cinder-dell-powerflex,https://github.com/dell-esg/powerflex-cinder-charm,,auto
,cinder-lvm,https://opendev.org/openstack/charm-cinder-lvm,,auto
,cinder-netapp,https://opendev.org/openstack/charm-cinder-netapp,,auto
,cinder-powermax,https://github.com/dell-esg/powermax-cinder-charm,,auto
,cinder-powerstore,https://github.com/dell-esg/powerstore-cinder-charm,,auto
,cinder-purestorage,https://opendev.org/openstack/charm-cinder-purestorage,,auto
,conserver-charm,https://github.com/canonical/conserver-charm,,manual
,containers-flannel,https://github.com/juju-solutions/charm-flannel,,auto
,containers-kubeapi-load-balancer,https://github.com/kubernetes/kubernetes,,auto
,designate-bind,https://opendev.org/openstack/charm-designate-bind,,auto
,digest-squid-auth-helper,https://github.com/canonical/digest-squid-auth-helper,,manual
,dokuwiki,https://github.com/battlemidget/juju-charm-dokuwiki.rb,,auto
,etcd,https://github.com/canonical/charmed-etcd-operator,,manual
,ganglia-node,https://git.launchpad.net/charm-ganglia-node,,auto
,ghost,https://github.com/battlemidget/charm-layer-ghost,,auto
,giraph,https://github.com/panagiotisl/bigtop,,auto
,glance,https://opendev.org/openstack/charm-glance,,auto
,glance-simplestreams-sync,https://opendev.org/openstack/charm-glance-simplestreams-sync,,auto
